update_date,country/region,latitude,longitude,cum_confirmed,cum_dead,cum_recovered
2020-01-14,China,,,41.0,1.0,7.0
2020-01-15,China,,,41.0,2.0,12.0
2020-01-16,China,,,45.0,2.0,15.0
2020-01-17,China,,,62.0,2.0,19.0
2020-01-18,China,,,121.0,3.0,24.0
2020-01-19,China,,,204.0,3.0,25.0
2020-01-20,China,,,300.0,6.0,25.0
2020-01-21,China,,,449.0,9.0,28.0
2020-01-22,China,,,548.0,17.0,28.0
2020-01-22,Japan,36.0,138.0,2.0,0.0,0.0
2020-01-22,Thailand,15.0,101.0,2.0,0.0,0.0
2020-01-22,United States,37.0902,-95.7129,1.0,0.0,0.0
2020-01-23,China,,,643.0,18.0,30.0
2020-01-23,Japan,36.0,138.0,2.0,0.0,0.0
2020-01-23,Singapore,1.2833,103.8333,1.0,0.0,0.0
2020-01-23,Thailand,15.0,101.0,3.0,0.0,0.0
2020-01-23,United States,37.0902,-95.7129,1.0,0.0,0.0
2020-01-23,Vietnam,16.0,108.0,2.0,0.0,0.0
2020-01-24,China,,,920.0,26.0,36.0
2020-01-24,France,91.3624,59.71919999999999,2.0,0.0,0.0
2020-01-24,Japan,36.0,138.0,2.0,0.0,0.0
2020-01-24,Singapore,1.2833,103.8333,3.0,0.0,0.0
2020-01-24,Thailand,15.0,101.0,5.0,0.0,0.0
2020-01-24,United States,37.0902,-95.7129,2.0,0.0,0.0
2020-01-24,Vietnam,16.0,108.0,2.0,0.0,0.0
2020-01-25,China,,,1406.0,42.0,39.0
2020-01-25,France,91.3624,59.71919999999999,3.0,0.0,0.0
2020-01-25,Japan,36.0,138.0,2.0,0.0,0.0
2020-01-25,Malaysia,2.5,112.5,3.0,0.0,0.0
2020-01-25,Nepal,28.1667,84.25,1.0,0.0,0.0
2020-01-25,Singapore,1.2833,103.8333,3.0,0.0,0.0
2020-01-25,Thailand,15.0,101.0,7.0,0.0,0.0
2020-01-25,United States,37.0902,-95.7129,2.0,0.0,0.0
2020-01-25,Vietnam,16.0,108.0,2.0,0.0,0.0
2020-01-26,Australia,,,4.0,0.0,0.0
2020-01-26,Canada,,,1.0,0.0,0.0
2020-01-26,China,,,2075.0,56.0,49.0
2020-01-26,France,91.3624,59.71919999999999,3.0,0.0,0.0
2020-01-26,Japan,36.0,138.0,4.0,0.0,1.0
2020-01-26,Malaysia,2.5,112.5,4.0,0.0,0.0
2020-01-26,Nepal,28.1667,84.25,1.0,0.0,0.0
2020-01-26,Singapore,1.2833,103.8333,4.0,0.0,0.0
2020-01-26,Thailand,15.0,101.0,8.0,0.0,2.0
2020-01-26,United States,37.0902,-95.7129,5.0,0.0,0.0
2020-01-26,Vietnam,16.0,108.0,2.0,0.0,0.0
2020-01-27,Australia,,,5.0,0.0,0.0
2020-01-27,Cambodia,11.55,104.9167,1.0,0.0,0.0
2020-01-27,Canada,,,1.0,0.0,0.0
2020-01-27,China,,,2877.0,82.0,58.0
2020-01-27,France,91.3624,59.71919999999999,3.0,0.0,0.0
2020-01-27,Germany,51.0,9.0,1.0,0.0,0.0
2020-01-27,Japan,36.0,138.0,4.0,0.0,1.0
2020-01-27,Malaysia,2.5,112.5,4.0,0.0,0.0
2020-01-27,Nepal,28.1667,84.25,1.0,0.0,0.0
2020-01-27,Singapore,1.2833,103.8333,5.0,0.0,0.0
2020-01-27,Sri Lanka,7.0,81.0,1.0,0.0,0.0
2020-01-27,Thailand,15.0,101.0,8.0,0.0,2.0
2020-01-27,United States,37.0902,-95.7129,5.0,0.0,0.0
2020-01-27,Vietnam,16.0,108.0,2.0,0.0,0.0
2020-01-28,Australia,,,5.0,0.0,0.0
2020-01-28,Cambodia,11.55,104.9167,1.0,0.0,0.0
2020-01-28,Canada,,,2.0,0.0,0.0
2020-01-28,China,,,5509.0,131.0,101.0
2020-01-28,France,91.3624,59.71919999999999,4.0,0.0,0.0
2020-01-28,Germany,51.0,9.0,4.0,0.0,0.0
2020-01-28,Japan,36.0,138.0,7.0,0.0,1.0
2020-01-28,Malaysia,2.5,112.5,4.0,0.0,0.0
2020-01-28,Nepal,28.1667,84.25,1.0,0.0,0.0
2020-01-28,Singapore,1.2833,103.8333,7.0,0.0,0.0
2020-01-28,Sri Lanka,7.0,81.0,1.0,0.0,0.0
2020-01-28,Thailand,15.0,101.0,14.0,0.0,5.0
2020-01-28,United States,37.0902,-95.7129,5.0,0.0,0.0
2020-01-28,Vietnam,16.0,108.0,2.0,0.0,0.0
2020-01-29,Australia,,,6.0,0.0,0.0
2020-01-29,Cambodia,11.55,104.9167,1.0,0.0,0.0
2020-01-29,Canada,,,2.0,0.0,0.0
2020-01-29,China,,,6087.0,133.0,120.0
2020-01-29,Finland,64.0,26.0,1.0,0.0,0.0
2020-01-29,France,91.3624,59.71919999999999,5.0,0.0,0.0
2020-01-29,Germany,51.0,9.0,4.0,0.0,0.0
2020-01-29,Japan,36.0,138.0,7.0,0.0,1.0
2020-01-29,Malaysia,2.5,112.5,7.0,0.0,0.0
2020-01-29,Nepal,28.1667,84.25,1.0,0.0,0.0
2020-01-29,Singapore,1.2833,103.8333,7.0,0.0,0.0
2020-01-29,Sri Lanka,7.0,81.0,1.0,0.0,0.0
2020-01-29,Thailand,15.0,101.0,14.0,0.0,5.0
2020-01-29,United Arab Emirates,24.0,54.0,4.0,0.0,0.0
2020-01-29,United States,37.0902,-95.7129,5.0,0.0,0.0
2020-01-29,Vietnam,16.0,108.0,2.0,0.0,0.0
2020-01-30,Australia,,,9.0,0.0,2.0
2020-01-30,Cambodia,11.55,104.9167,1.0,0.0,0.0
2020-01-30,Canada,,,2.0,0.0,0.0
2020-01-30,China,,,8141.0,171.0,135.0
2020-01-30,Finland,64.0,26.0,1.0,0.0,0.0
2020-01-30,France,91.3624,59.71919999999999,5.0,0.0,0.0
2020-01-30,Germany,51.0,9.0,4.0,0.0,0.0
2020-01-30,India,21.0,78.0,1.0,0.0,0.0
2020-01-30,Japan,36.0,138.0,11.0,0.0,1.0
2020-01-30,Malaysia,2.5,112.5,8.0,0.0,0.0
2020-01-30,Nepal,28.1667,84.25,1.0,0.0,0.0
2020-01-30,Philippines,13.0,122.0,1.0,0.0,0.0
2020-01-30,Singapore,1.2833,103.8333,10.0,0.0,0.0
2020-01-30,Sri Lanka,7.0,81.0,1.0,0.0,0.0
2020-01-30,Thailand,15.0,101.0,14.0,0.0,5.0
2020-01-30,United Arab Emirates,24.0,54.0,4.0,0.0,0.0
2020-01-30,United States,37.0902,-95.7129,5.0,0.0,0.0
2020-01-30,Vietnam,16.0,108.0,2.0,0.0,0.0
2020-01-31,Australia,,,9.0,0.0,2.0
2020-01-31,Cambodia,11.55,104.9167,1.0,0.0,0.0
2020-01-31,Canada,,,4.0,0.0,0.0
2020-01-31,China,,,9802.0,213.0,214.0
2020-01-31,Finland,64.0,26.0,1.0,0.0,0.0
2020-01-31,France,91.3624,59.71919999999999,5.0,0.0,0.0
2020-01-31,Germany,51.0,9.0,5.0,0.0,0.0
2020-01-31,India,21.0,78.0,1.0,0.0,0.0
2020-01-31,Italy,43.0,12.0,2.0,0.0,0.0
2020-01-31,Japan,36.0,138.0,15.0,0.0,1.0
2020-01-31,Malaysia,2.5,112.5,8.0,0.0,0.0
2020-01-31,Nepal,28.1667,84.25,1.0,0.0,0.0
2020-01-31,Philippines,13.0,122.0,1.0,0.0,0.0
2020-01-31,Russian Federation,60.0,90.0,2.0,0.0,0.0
2020-01-31,Singapore,1.2833,103.8333,13.0,0.0,0.0
